2022-09-11 15:13:50,044 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,045 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,045 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,046 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,047 | root       | INFO       | [[0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,048 | root       | INFO       | [[0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,048 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,049 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,050 | root       | INFO       | [[0 0 1 0 0 0 1 2 0 0 1 0 2 3 3 2 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,051 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,051 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,052 | root       | INFO       | [[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,053 | root       | INFO       | [[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
